Ville,notedebutmandat,notefinmandat,Cyclabilité,Evolution sur le mandat,Note aménagements
Barème,,,0,1,
Ambarès-et-Lagrave,"0,269","0,329",7%,22%,22%
Ambès,"0,293","0,316",6%,8%,8%
Artigues-près-Bordeaux,"0,401","0,540",11%,35%,35%
Bassens,"0,535","0,561",11%,5%,5%
Bègles,"0,515","0,587",12%,14%,14%
Blanquefort,"0,672","0,750",15%,12%,12%
Bordeaux,"0,665","0,730",15%,10%,10%
Bouliac,"0,554","0,560",11%,1%,1%
Bruges,"1,082","1,229",25%,14%,14%
Carbon-Blanc,"0,472","0,472",9%,0%,0%
Cenon,"0,358","0,486",10%,36%,36%
Eysines,"1,042","1,102",22%,6%,6%
Floirac,"0,477","0,542",11%,14%,14%
Gradignan,"0,693","0,770",15%,11%,11%
Le Bouscat,"0,312","0,389",8%,25%,25%
Le Haillan,"0,914","1,013",20%,11%,11%
Le Taillan-Médoc,"0,377","0,471",9%,25%,25%
Lormont,"0,747","0,775",16%,4%,4%
Martignas-sur-Jalle,"0,393","0,478",10%,22%,22%
Mérignac,"0,892","1,022",20%,15%,15%
Parempuyre,"0,435","0,524",10%,20%,20%
Pessac,"0,763","0,812",16%,6%,6%
Saint-Aubin de Médoc,"0,628","0,626",13%,0%,0%
Saint-Louis-de-Montferrand,"0,374","0,457",9%,22%,22%
Saint-Médard-en-Jalles,"0,728","0,751",15%,3%,3%
Saint-Vincent-de-Paul,"0,218","0,218",4%,0%,0%
Talence,"0,437","0,519",10%,19%,19%
Villenave-d'Ornon,"0,542","0,542",11%,0%,0%
Moyenne,,,,,13%