Ville,"rencontre régulière asso","journée sensibilisation",plan vélo,"forfait mobilité agent","pret vélo agent",Note actions mairies
Barème,1,1,1,1,1,
Ambarès-et-Lagrave,non,non,non,non,non,0%
Ambès,non,non,non,non,non,0%
Artigues-près-Bordeaux,non,oui,non,non,non,20%
Bassens,non,non,non,non,oui,20%
Bègles,oui,oui,oui,oui,non,80%
Blanquefort,non,non,non,non,non,0%
Bordeaux,oui,oui,oui,non,oui,80%
Bouliac,non,non,non,non,non,0%
Bruges,non,non,non,non,non,0%
Carbon-Blanc,non,non,non,non,non,0%
Cenon,non,non,non,non,oui,20%
Eysines,non,non,non,non,non,0%
Floirac,non,non,non,oui,oui,40%
Gradignan,oui,oui,non,non,non,40%
Le Bouscat,non,non,non,non,non,0%
Le Haillan,oui,oui,oui,oui,oui,100%
Le Taillan-Médoc,non,non,non,non,non,0%
Lormont,oui,non,non,non,non,20%
Martignas-sur-Jalle,non,non,non,non,non,0%
Mérignac,oui,non,non,non,non,20%
Parempuyre,non,non,non,non,non,0%
Pessac,oui,oui,oui,non,non,60%
Saint-Aubin de Médoc,non,non,non,non,non,0%
Saint-Louis-de-Montferrand,non,non,non,non,non,0%
Saint-Médard-en-Jalles,non,non,non,non,non,0%
Saint-Vincent-de-Paul,non,non,non,non,non,0%
Talence,non,oui,oui,non,non,40%
Villenave-d'Ornon,non,non,non,non,non,0%
Moyenne,,,,,,"19,29%"